front,back,tags
"What is **Schema registry**?","Central contract for event payload versions.","event-driven-architecture|terminology"
"What is **Eventual consistency**?","Replicas converge without simultaneous strong consistency.","event-driven-architecture|terminology"
"Summarize the core idea of **Event-Driven Architecture**.","**Event-driven architecture (EDA)** is a software design style in which components communicate by producing and consuming **events**—immutable records of something that happened—rather than invoking each other synchronously. EDA enables **loose coupling**, **independent scaling**, **temporal decoupling**, and **multiple reactions** to the same fact. It introduces challenges: **eventual consistency**, **distributed debugging**, **schema evolution**, **ordering across aggregates**, and **duplicate","event-driven-architecture|summary"
"What is **Topic**?","Named stream of messages; divided into partitions.","kafka-architecture|terminology"
"What is **Partition**?","Ordered, immutable sequence of messages (log segment files).","kafka-architecture|terminology"
"What is **Offset**?","Monotonic position within a partition log.","kafka-architecture|terminology"
"What is **Broker**?","Kafka server storing partitions and serving clients.","kafka-architecture|terminology"
"What is **Replica**?","Copy of a partition on a broker; one leader, rest followers.","kafka-architecture|terminology"
"What is **ISR**?","In-Sync Replicas—followers caught up within `replica.lag.time.max.ms`.","kafka-architecture|terminology"
"What is **Consumer group**?","Set of consumers sharing work; one consumer per partition max.","kafka-architecture|terminology"
"What is **Group coordinator**?","Broker managing consumer group membership and offsets.","kafka-architecture|terminology"
"What is **High watermark**?","Offset up to which all ISR replicas have replicated.","kafka-architecture|terminology"
"What is **Log compaction**?","Retain latest record per key; tombstones delete keys.","kafka-architecture|terminology"
"What is **KRaft**?","Kafka Raft metadata mode replacing ZooKeeper dependency.","kafka-architecture|terminology"
"Summarize the core idea of **Kafka Architecture**.","**Apache Kafka** is a distributed commit log used as a message broker, event backbone, and stream processing substrate. Its architecture centers on **topics** partitioned into append-only **logs**, **replicated** across brokers for durability, consumed by **consumer groups** that track **offsets** per partition. Unlike traditional queue systems that delete messages after consumption, Kafka retains messages for a configurable period—enabling replay, multiple independent consumer groups, and decou","kafka-architecture|summary"
"What is **At-most-once**?","Message delivered zero or one time; loss possible, no duplicates from retry.","message-delivery-semantics|terminology"
"What is **At-least-once**?","Message delivered one or more times until acknowledged; duplicates possible.","message-delivery-semantics|terminology"
"What is **Exactly-once**?","Each message causes exactly one observable effect—often **end-to-end** claim.","message-delivery-semantics|terminology"
"What is **Acknowledgment (ack)**?","Consumer or broker confirmation of receipt or processing.","message-delivery-semantics|terminology"
"What is **Offset**?","Position in a partition log; consumer commits offset after processing.","message-delivery-semantics|terminology"
"What is **Idempotent consumer**?","Processing same message twice yields same state as once.","message-delivery-semantics|terminology"
"What is **Deduplication**?","Store of seen message IDs to reject duplicates.","message-delivery-semantics|terminology"
"What is **Poison message**?","Message that always fails processing; blocks or loops retries.","message-delivery-semantics|terminology"
"What is **Dead-letter queue (DLQ)**?","Destination for messages that exceed retry limits.","message-delivery-semantics|terminology"
"What is **Effectively-once**?","At-least-once transport + idempotent handler = one business effect.","message-delivery-semantics|terminology"
"Summarize the core idea of **Message Delivery Semantics**.","**Message delivery semantics** describe what guarantees a messaging system provides when a producer sends a message and a consumer processes it. The three classical labels—**at-most-once**, **at-least-once**, and **exactly-once**—are often misunderstood because they apply at different layers (broker acknowledgment, consumer offset commit, end-to-end business effect) and because **exactly-once delivery** is impossible in the general asynchronous network model without cooperation from producers, b","message-delivery-semantics|summary"
"What is **TTL invalidation**?","Passive expiry by time.","cache-invalidation|terminology"
"What is **Active invalidation**?","Explicit delete/update on data change.","cache-invalidation|terminology"
"What is **Write-invalidate**?","Remove cache entry on write.","cache-invalidation|terminology"
"What is **Write-update**?","Push new value to cache on write.","cache-invalidation|terminology"
"What is **Version stamp**?","Monotonic version; readers reject old versions.","cache-invalidation|terminology"
"What is **Cache tagging**?","Group keys under tag; invalidate tag in one operation.","cache-invalidation|terminology"
"What is **Surrogate key**?","CDN tag for related objects (e.g., all product pages).","cache-invalidation|terminology"
"What is **Purge vs ban**?","Purge removes if present; ban prevents future cache (CDN-specific).","cache-invalidation|terminology"
"What is **Thundering herd**?","Many concurrent misses after invalidation.","cache-invalidation|terminology"
"What is **Torn cache**?","Partially updated related keys—inconsistent view.","cache-invalidation|terminology"
"Summarize the core idea of **Cache Invalidation**.","**Cache invalidation** is the process of removing or updating cached entries so clients do not observe indefinitely stale data relative to the authoritative source. Phil Karlton's aphorism—*""There are only two hard things in Computer Science: cache invalidation and naming things""*—remains relevant because invalidation spans **multiple cache tiers**, **concurrent writers**, **eventual propagation delay**, and **ambiguous ownership** of who invalidates what.","cache-invalidation|summary"
"What is **Cache hit**?","Requested key found in cache.","caching-fundamentals|terminology"
"What is **Cache miss**?","Key absent—fetch from origin required.","caching-fundamentals|terminology"
"What is **Hit ratio**?","Hits / (Hits + Misses)—primary efficiency metric.","caching-fundamentals|terminology"
"What is **TTL (Time To Live)**?","Expiry after which entry is discarded.","caching-fundamentals|terminology"
"What is **Cache-aside**?","App reads cache; on miss loads DB and populates cache.","caching-fundamentals|terminology"
"What is **Read-through**?","Cache loads from DB on miss transparently to app.","caching-fundamentals|terminology"
"What is **Write-through**?","Write updates cache and DB synchronously.","caching-fundamentals|terminology"
"What is **Write-behind**?","Write updates cache; async flush to DB.","caching-fundamentals|terminology"
"What is **Eviction**?","Remove entries when cache full (LRU, LFU, TTL).","caching-fundamentals|terminology"
"What is **Thundering herd**?","Many requests miss simultaneously on hot key expiry.","caching-fundamentals|terminology"
"What is **Negative caching**?","Cache ""not found"" to protect origin from repeat misses.","caching-fundamentals|terminology"
"Summarize the core idea of **Caching Fundamentals**.","**Caching** stores copies of data closer to consumers or in faster storage tiers to reduce latency, database load, and cost. A cache trades **freshness** for **speed**—by definition, cached data may be stale relative to the authoritative source. Principal architects must choose **cache placement** (client, CDN, application, database), **population strategy** (lazy vs eager), **consistency model** (TTL, invalidation, write-through), and **eviction policy** under memory pressure.","caching-fundamentals|summary"
"What is **Shard**?","Subset of keyspace on one primary node.","distributed-caching|terminology"
"What is **Hash slot**?","Redis Cluster unit of 16384 slots mapping keys to nodes.","distributed-caching|terminology"
"What is **Hash tag**?","`{tag}` in key forces same slot for related keys.","distributed-caching|terminology"
"What is **Hot key**?","Key receiving disproportionate traffic.","distributed-caching|terminology"
"What is **Big key**?","Large value or collection blocking operations.","distributed-caching|terminology"
"What is **Near-cache**?","Local L1 in front of remote L2 distributed cache.","distributed-caching|terminology"
"What is **Read replica**?","Follower serving reads; may lag primary.","distributed-caching|terminology"
"What is **Sentinel**?","HA monitoring and failover for non-cluster Redis.","distributed-caching|terminology"
"What is **Cluster bus**?","Gossip protocol between Redis Cluster nodes.","distributed-caching|terminology"
"What is **MOVED / ASK**?","Redirect responses during slot migration or failover.","distributed-caching|terminology"
"Summarize the core idea of **Distributed Caching**.","**Distributed caching** places a shared, horizontally scaled cache tier (typically in-memory) between application instances and the authoritative data store. Unlike per-process local caches, a distributed cache provides **consistent key namespace**, **shared state across instances**, and **horizontal capacity**—at the cost of **network latency**, **operational complexity**, **hot-key bottlenecks**, and **failure modes** distinct from single-node Redis.","distributed-caching|summary"
"What is **Timeout**?","Maximum wait before abandoning a call","resilience-patterns|terminology"
"What is **Retry**?","Repeat failed call subject to policy","resilience-patterns|terminology"
"What is **Exponential backoff**?","Increasing delay between retries","resilience-patterns|terminology"
"What is **Jitter**?","Randomized delay to desynchronize retries","resilience-patterns|terminology"
"What is **Circuit breaker**?","Fail-fast after error threshold; periodic half-open probe","resilience-patterns|terminology"
"What is **Bulkhead**?","Resource pool isolation limiting cross-coupling","resilience-patterns|terminology"
"What is **Load shedding**?","Reject excess requests to protect survivors","resilience-patterns|terminology"
"What is **Graceful degradation**?","Reduced functionality vs total failure","resilience-patterns|terminology"
"What is **Hedging**?","Send duplicate request if first slow—doubles load","resilience-patterns|terminology"
"What is **Fail open / fail closed**?","Degrade permissively vs deny when dependency down","resilience-patterns|terminology"
"Summarize the core idea of **Resilience Patterns**.","**Resilience patterns** are structural defenses against **partial failure** in distributed systems. When one service slows or fails, uncontrolled retry storms and cascading overload can convert a localized fault into a **system-wide outage**. Patterns—**timeouts**, **retries with backoff**, **circuit breakers**, **bulkheads**, **load shedding**, and **graceful degradation**—bound blast radius and preserve **liveness** for critical paths.","resilience-patterns|summary"
"What is **Bounded context**?","Explicit boundary where a domain model is consistent and terms have one meaning","service-decomposition-and-ddd|terminology"
"What is **Ubiquitous language**?","Shared vocabulary between developers and domain experts within a context","service-decomposition-and-ddd|terminology"
"What is **Aggregate**?","Cluster of entities treated as a consistency unit; one root entity","service-decomposition-and-ddd|terminology"
"What is **Domain event**?","Record of something meaningful that happened in the domain","service-decomposition-and-ddd|terminology"
"What is **Context map**?","Diagram of relationships between bounded contexts (upstream/downstream)","service-decomposition-and-ddd|terminology"
"What is **Anti-corruption layer (ACL)**?","Translation layer protecting a context from foreign models","service-decomposition-and-ddd|terminology"
"What is **Shared kernel**?","Small shared model between two contexts—use sparingly","service-decomposition-and-ddd|terminology"
"What is **Conway's Law**?","System design reflects organizational communication structure","service-decomposition-and-ddd|terminology"
"What is **Database per service**?","Each service owns its schema; no cross-service SQL joins in production","service-decomposition-and-ddd|terminology"
"What is **Strangler fig**?","Incrementally replace monolith by routing traffic to new services","service-decomposition-and-ddd|terminology"
"Summarize the core idea of **Service Decomposition and DDD**.","**Service decomposition** is the act of partitioning a system into independently deployable services aligned with business capability boundaries. **Domain-Driven Design (DDD)** provides the strategic vocabulary—**bounded contexts**, **ubiquitous language**, **aggregates**, and **domain events**—to make those boundaries durable rather than arbitrary.","service-decomposition-and-ddd|summary"
"What is **Data plane**?","Proxies handling actual request traffic (Envoy)","service-mesh-and-sidecars|terminology"
"What is **Control plane**?","Config distribution, certs, service discovery (Istiod)","service-mesh-and-sidecars|terminology"
"What is **Sidecar**?","Proxy container alongside app container in pod","service-mesh-and-sidecars|terminology"
"What is **mTLS**?","Mutual TLS—both client and server present certificates","service-mesh-and-sidecars|terminology"
"What is **SPIFFE/SPIRE**?","Workload identity framework and implementation","service-mesh-and-sidecars|terminology"
"What is **VirtualService**?","Istio L7 routing rules (weights, headers)","service-mesh-and-sidecars|terminology"
"What is **DestinationRule**?","Subset definitions, TLS mode, load balancing","service-mesh-and-sidecars|terminology"
"What is **xDS**?","Discovery APIs (CDS, EDS, LDS, RDS) pushing config to Envoy","service-mesh-and-sidecars|terminology"
"What is **Ambient mesh**?","eBPF-based mesh reducing per-pod sidecars (Istio ambient mode)","service-mesh-and-sidecars|terminology"
"What is **Ingress gateway**?","North-south entry; distinct from east-west sidecars","service-mesh-and-sidecars|terminology"
"Summarize the core idea of **Service Mesh and Sidecars**.","A **service mesh** is an infrastructure layer that handles **service-to-service communication**—security (mTLS), traffic management (routing, retries, timeouts), and observability (metrics, traces)—without embedding all logic in application code. The dominant deployment model uses **sidecar proxies** (typically **Envoy**) colocated with each workload pod, controlled by a **control plane** (e.g., **Istio**, **Linkerd**).","service-mesh-and-sidecars|summary"
"What is **Backward compatible**?","New schema read by old consumers","api-versioning-and-evolution|terminology"
"What is **Forward compatible**?","Old schema read by new consumers","api-versioning-and-evolution|terminology"
"What is **Full compatible**?","Both directions","api-versioning-and-evolution|terminology"
"What is **Breaking change**?","Old clients fail on new producer or vice versa","api-versioning-and-evolution|terminology"
"What is **Expand-contract**?","Add new API; migrate; remove old","api-versioning-and-evolution|terminology"
"What is **Sunset header**?","HTTP `Sunset` RFC 8594 deprecation date","api-versioning-and-evolution|terminology"
"What is **Schema registry**?","Central store with compatibility enforcement (Confluent, Buf)","api-versioning-and-evolution|terminology"
"What is **Consumer-driven contract**?","Consumers define expectations; providers verify","api-versioning-and-evolution|terminology"
"What is **Dual write**?","Write both old and new formats during migration","api-versioning-and-evolution|terminology"
"What is **Strangler API**?","Route traffic gradually to new implementation","api-versioning-and-evolution|terminology"
"Summarize the core idea of **API Versioning and Evolution**.","**API versioning** is how systems evolve public and internal contracts without breaking dependents. Strategies span **URL versioning** (`/v2/orders`), **header versioning** (`Accept: application/vnd.company.v2+json`), **package versioning** (gRPC `package orders.v2`), and **schema compatibility** (protobuf field rules, Avro BACKWARD mode). The deepest principle is **expand-contract, shrink-implementation**: add compatible changes first, migrate consumers, then remove deprecated surfaces.","api-versioning-and-evolution|summary"
"What is **REST**?","Architectural style: resources, HTTP methods, stateless","rest-grpc-and-graphql|terminology"
"What is **OpenAPI**?","Machine-readable REST API specification","rest-grpc-and-graphql|terminology"
"What is **gRPC**?","RPC framework using protobuf over HTTP/2","rest-grpc-and-graphql|terminology"
"What is **Protobuf**?","Binary serialization with schema evolution rules","rest-grpc-and-graphql|terminology"
"What is **GraphQL**?","Query language + runtime executing against schema","rest-grpc-and-graphql|terminology"
"What is **Resolver**?","GraphQL function fetching field data","rest-grpc-and-graphql|terminology"
"What is **BFF**?","Backend-for-Frontend tailored API per client type","rest-grpc-and-graphql|terminology"
"What is **HTTP/2**?","Multiplexed streams; header compression","rest-grpc-and-graphql|terminology"
"What is **Deadline**?","gRPC propagated timeout budget","rest-grpc-and-graphql|terminology"
"What is **N+1 problem**?","GraphQL resolvers causing one query per child entity","rest-grpc-and-graphql|terminology"
"Summarize the core idea of **REST, gRPC, and GraphQL**.","**REST** (Representational State Transfer over HTTP) models resources with verbs and status codes—ubiquitous, cache-friendly, and human-debuggable. **gRPC** uses **Protocol Buffers** over **HTTP/2** for strongly typed, bidirectional streaming RPC with efficient binary serialization—dominant for internal service-to-service calls. **GraphQL** provides a **schema-driven query language** where clients request exactly the fields they need—excellent for aggregating multiple backends behind a single AP","rest-grpc-and-graphql|summary"
"What is **Region**?","Geographic area with multiple isolated AZs; unit of data residency for most services","aws-fundamentals|terminology"
"What is **Availability Zone (AZ)**?","One or more datacenters with independent power/network within a region","aws-fundamentals|terminology"
"What is **Local Zone / Wavelength**?","Edge extensions for latency-sensitive workloads","aws-fundamentals|terminology"
"What is **VPC**?","Virtual Private Cloud—isolated virtual network in a region","aws-fundamentals|terminology"
"What is **Subnet**?","IP range segment within a VPC, bound to one AZ","aws-fundamentals|terminology"
"What is **Security Group**?","Stateful virtual firewall attached to ENIs/instances","aws-fundamentals|terminology"
"What is **NACL**?","Stateless subnet-level firewall (less common at app tier)","aws-fundamentals|terminology"
"What is **IAM**?","Identity and Access Management—authentication/authorization for AWS APIs","aws-fundamentals|terminology"
"What is **IAM Role**?","Assumable identity with temporary credentials via STS","aws-fundamentals|terminology"
"What is **ARN**?","Amazon Resource Name—unique identifier for AWS resources","aws-fundamentals|terminology"
"What is **ENI**?","Elastic Network Interface—virtual NIC in VPC","aws-fundamentals|terminology"
"What is **EBS**?","Elastic Block Store—network-attached block volumes for EC2","aws-fundamentals|terminology"
"What is **S3**?","Object storage with bucket/key model","aws-fundamentals|terminology"
"What is **RDS**?","Managed relational database service","aws-fundamentals|terminology"
"What is **Lambda**?","Serverless function execution environment","aws-fundamentals|terminology"
"What is **ALB/NLB**?","Application/Network Load Balancer","aws-fundamentals|terminology"
"What is **CloudFormation / CDK**?","Infrastructure as Code on AWS","aws-fundamentals|terminology"
"What is **Well-Architected Framework**?","Six pillars: operational excellence, security, reliability, performance, cost, sustainability","aws-fundamentals|terminology"
"Summarize the core idea of **AWS Fundamentals**.","**Amazon Web Services (AWS)** is a hyperscale public cloud platform organized around **regions**, **Availability Zones (AZs)**, and a catalog of managed services spanning compute, storage, networking, databases, security, and operations. Principal architects must reason about AWS not as a bag of product names but as a **distributed system** with explicit **failure domains**, **API-driven control planes**, **shared responsibility boundaries**, and **economic tradeoffs** baked into every design ch","aws-fundamentals|summary"
"What is **RTO**?","Recovery Time Objective—max acceptable downtime","multi-region-architecture|terminology"
"What is **RPO**?","Recovery Point Objective—max acceptable data loss window","multi-region-architecture|terminology"
"What is **Active-passive**?","Primary region serves traffic; secondary on standby","multi-region-architecture|terminology"
"What is **Active-active**?","Multiple regions serve traffic concurrently","multi-region-architecture|terminology"
"What is **Pilot light**?","Minimal core running in DR region; scale up on failover","multi-region-architecture|terminology"
"What is **Warm standby**?","Scaled-down but functional DR environment","multi-region-architecture|terminology"
"What is **Backup and restore**?","Periodic backups restored after incident","multi-region-architecture|terminology"
"What is **Global table / global database**?","AWS-managed multi-region replication","multi-region-architecture|terminology"
"What is **Route 53 health check**?","Automated DNS failover trigger","multi-region-architecture|terminology"
"What is **Global Accelerator**?","Anycast static IPs; health-based regional routing","multi-region-architecture|terminology"
"What is **Split brain**?","Two regions both believe they are primary","multi-region-architecture|terminology"
"What is **Conflict resolution**?","Rules for concurrent writes in active-active","multi-region-architecture|terminology"
"What is **Cell-based architecture**?","Shard users/data by region or partition","multi-region-architecture|terminology"
"What is **Runbook / game day**?","Documented and practiced failover procedure","multi-region-architecture|terminology"
"Summarize the core idea of **Multi-Region Architecture**.","**Multi-region architecture** distributes workloads across geographically separated AWS **regions** to achieve disaster recovery (DR), regulatory **data residency**, reduced **latency** for global users, and containment of **blast radius** beyond single-region failures. Unlike multi-AZ design—which handles datacenter-scale faults within one region—multi-region design confronts **higher latency**, **weaker consistency** across replicas, **operational complexity**, and **material cost**.","multi-region-architecture|summary"
"What is **Pod**?","Smallest deployable unit; one or more containers sharing network namespace","kubernetes-architecture|terminology"
"What is **Node**?","Worker machine running kubelet and runtime","kubernetes-architecture|terminology"
"What is **Control plane**?","Cluster management components","kubernetes-architecture|terminology"
"What is **etcd**?","Distributed key-value store for cluster state","kubernetes-architecture|terminology"
"What is **kube-apiserver**?","Front door to cluster state; REST API","kubernetes-architecture|terminology"
"What is **Scheduler**?","Assigns pods to nodes","kubernetes-architecture|terminology"
"What is **Controller**?","Reconciliation loop (Deployment, ReplicaSet, etc.)","kubernetes-architecture|terminology"
"What is **Service**?","Stable virtual IP/DNS for pod set","kubernetes-architecture|terminology"
"What is **Ingress**?","L7 HTTP routing into cluster","kubernetes-architecture|terminology"
"What is **CNI**?","Container Network Interface plugin (Calico, Cilium, etc.)","kubernetes-architecture|terminology"
"What is **CSI**?","Container Storage Interface for volumes","kubernetes-architecture|terminology"
"Summarize the core idea of **Kubernetes Architecture**.","**Kubernetes (K8s)** is a container orchestration platform that automates deployment, scaling, networking, and healing of containerized workloads. Its architecture splits into the **control plane** (API server, etcd, scheduler, controller managers) and **data plane** (kubelet, container runtime, CNI networking on worker nodes). Declarative **desired state** in etcd is continuously reconciled by controllers—a pattern principal architects must understand beyond `kubectl apply`.","kubernetes-architecture|summary"
"What is **IDP**?","Internal Developer Platform—self-service tooling layer","platform-engineering-and-gitops|terminology"
"What is **Golden path**?","Default supported way to build and deploy","platform-engineering-and-gitops|terminology"
"What is **GitOps**?","Git-driven declarative operations with reconciliation","platform-engineering-and-gitops|terminology"
"What is **Argo CD / Flux**?","GitOps continuous delivery controllers","platform-engineering-and-gitops|terminology"
"What is **Backstage**?","CNCF developer portal framework","platform-engineering-and-gitops|terminology"
"What is **Platform team**?","Team building capabilities for other engineers","platform-engineering-and-gitops|terminology"
"What is **Thinnest viable platform**?","Minimum platform scope that reduces pain (Team Topologies)","platform-engineering-and-gitops|terminology"
"What is **Pull-based deploy**?","Cluster pulls desired state vs CI pushing kubectl","platform-engineering-and-gitops|terminology"
"What is **App of Apps**?","Argo pattern bootstrapping multiple applications","platform-engineering-and-gitops|terminology"
"What is **Policy as code**?","OPA, Kyverno enforcing standards automatically","platform-engineering-and-gitops|terminology"
"Summarize the core idea of **Platform Engineering and GitOps**.","**Platform engineering** builds **Internal Developer Platforms (IDPs)** that provide self-service **golden paths**—opinionated, supported workflows for deploying, observing, and securing applications without every product team reinventing Kubernetes, CI/CD, and cloud primitives. **GitOps** extends Git as the **single source of truth** for desired infrastructure and application state: changes flow through pull request review, automated sync (e.g., **Argo CD**, **Flux**), and continuous reconcilia","platform-engineering-and-gitops|summary"
"What is **Steady-state hypothesis**?","Expected normal behavior metrics during experiment","chaos-engineering|terminology"
"What is **Blast radius**?","Scope of fault impact (pods, AZ, region)","chaos-engineering|terminology"
"What is **Fault injection**?","Latency, error, CPU, network partition, kill","chaos-engineering|terminology"
"What is **Game day**?","Planned reliability exercise often with chaos","chaos-engineering|terminology"
"What is **Chaos Monkey**?","Random instance termination (Netflix origin)","chaos-engineering|terminology"
"What is **Litmus / Chaos Mesh**?","K8s chaos engineering frameworks","chaos-engineering|terminology"
"What is **Gremlin**?","Commercial chaos platform","chaos-engineering|terminology"
"What is **Abort condition**?","Auto-stop if error budget burns too fast","chaos-engineering|terminology"
"What is **Failure injection**?","Synonym for controlled fault","chaos-engineering|terminology"
"What is **Antifragile**?","Systems improving from stress—aspirational goal","chaos-engineering|terminology"
"Summarize the core idea of **Chaos Engineering**.","**Chaos engineering** is the discipline of experimenting on production or production-like systems by injecting **controlled faults** to build confidence that systems withstand turbulent conditions. Originating at Netflix with **Chaos Monkey**, it operationalizes the reality that **distributed systems fail**—and untested failure modes hurt more than injected ones.","chaos-engineering|summary"
"What is **RTO**?","Max acceptable downtime to restore service","disaster-recovery-and-multi-region|terminology"
"What is **RPO**?","Max acceptable data loss measured in time","disaster-recovery-and-multi-region|terminology"
"What is **BIA**?","Business Impact Analysis prioritizing systems","disaster-recovery-and-multi-region|terminology"
"What is **Active-passive**?","Secondary idle until failover","disaster-recovery-and-multi-region|terminology"
"What is **Active-active**?","Multiple regions serve traffic concurrently","disaster-recovery-and-multi-region|terminology"
"What is **Pilot light**?","Minimal core running in DR region","disaster-recovery-and-multi-region|terminology"
"What is **Warm standby**?","Scaled-down but functional DR environment","disaster-recovery-and-multi-region|terminology"
"What is **Split-brain**?","Two primaries accepting writes—data divergence","disaster-recovery-and-multi-region|terminology"
"What is **Global load balancer**?","Routes users to healthy region (Route 53, GSLB)","disaster-recovery-and-multi-region|terminology"
"What is **Immutable backup**?","WORM storage resistant to ransomware overwrite","disaster-recovery-and-multi-region|terminology"
"Summarize the core idea of **Disaster Recovery and Multi-Region**.","**Disaster recovery (DR)** is the capability to restore critical systems after regional failures, data corruption, or catastrophic outages. **Multi-region architecture** distributes workloads across geographic locations for **availability**, **latency**, and **regulatory** requirements. The defining metrics are **RTO** (Recovery Time Objective—how fast you recover) and **RPO** (Recovery Point Objective—how much data loss is acceptable).","disaster-recovery-and-multi-region|summary"
"What is **SLI**?","Quantitative measure of service aspect (e.g., success rate)","slo-sli-error-budgets|terminology"
"What is **SLO**?","Target value/range for SLI over time window","slo-sli-error-budgets|terminology"
"What is **SLA**?","Contract with customer consequences (credits, penalties)","slo-sli-error-budgets|terminology"
"What is **Error budget**?","1 − SLO target (allowed bad events)","slo-sli-error-budgets|terminology"
"What is **Burn rate**?","Rate of budget consumption vs steady state","slo-sli-error-budgets|terminology"
"What is **Multi-window alert**?","Fast burn (1h) + slow burn (6h) pages","slo-sli-error-budgets|terminology"
"What is **Availability**?","Proportion of successful requests or uptime","slo-sli-error-budgets|terminology"
"What is **Latency SLI**?","Fraction of requests faster than threshold","slo-sli-error-budgets|terminology"
"What is **Good event / valid event**?","Numerator/denominator definitions for SLI","slo-sli-error-budgets|terminology"
"What is **Tier-1 / Tier-2 service**?","Criticality classification driving SLO strictness","slo-sli-error-budgets|terminology"
"Summarize the core idea of **SLOs, SLIs, and Error Budgets**.","**Service Level Indicators (SLIs)**, **Service Level Objectives (SLOs)**, and **error budgets** form the quantitative backbone of modern reliability engineering. An **SLI** is a measured signal of service behavior (availability, latency, correctness). An **SLO** is a target threshold over a window (e.g., 99.9% of requests succeed in 30 days). The **error budget** is the complement—the acceptable unreliability before the SLO is breached.","slo-sli-error-budgets|summary"
"What is **OpenTelemetry**?","CNCF observability framework","distributed-tracing|terminology"
"What is **OTel SDK**?","Language instrumentation library","distributed-tracing|terminology"
"What is **Collector**?","Receive, process, export telemetry","distributed-tracing|terminology"
"What is **Exporter**?","Sends spans to backend","distributed-tracing|terminology"
"What is **traceparent**?","W3C header carrying trace context","distributed-tracing|terminology"
"What is **Head sampling**?","Decide at trace start","distributed-tracing|terminology"
"What is **Tail sampling**?","Decide after trace completes","distributed-tracing|terminology"
"What is **Probabilistic sampling**?","Random fraction (e.g., 1%)","distributed-tracing|terminology"
"What is **Cardinality**?","Unique attribute combination count","distributed-tracing|terminology"
"What is **Service map**?","Derived graph of dependencies","distributed-tracing|terminology"
"What is **Exemplar**?","Link metric sample to trace ID","distributed-tracing|terminology"
"What is **Instrumentation scope**?","Manual vs auto instrumentation boundary","distributed-tracing|terminology"
"Summarize the core idea of **Distributed Tracing**.","**Distributed tracing** records the end-to-end path of a request as it traverses microservices, queues, databases, and external APIs—producing a **trace** composed of **spans** with timing, metadata, and causal parent-child relationships. While metrics show *that* latency increased and logs show *what* a single service logged, traces show *where* time was spent across the distributed call graph.","distributed-tracing|summary"
"What is **Metric**?","Numeric time-series measurement (counter, gauge, histogram)","observability-fundamentals|terminology"
"What is **Log**?","Discrete timestamped event record","observability-fundamentals|terminology"
"What is **Trace**?","End-to-end request path; tree of **spans**","observability-fundamentals|terminology"
"What is **Span**?","Single operation with timing, attributes, status","observability-fundamentals|terminology"
"What is **Cardinality**?","Number of unique time-series label combinations","observability-fundamentals|terminology"
"What is **Histogram**?","Distribution bucket counts for latency/size","observability-fundamentals|terminology"
"What is **Exemplar**?","Link from metric bucket to example trace","observability-fundamentals|terminology"
"What is **OpenTelemetry (OTel)**?","CNCF standard for traces, metrics, logs","observability-fundamentals|terminology"
"What is **Collector**?","Agent/gateway receiving, processing, exporting telemetry","observability-fundamentals|terminology"
"What is **Instrumentation**?","Code/library emitting telemetry","observability-fundamentals|terminology"
"What is **Structured log**?","JSON/key-value logs for queryability","observability-fundamentals|terminology"
"What is **Correlation ID**?","Identifier tying logs/traces to one request","observability-fundamentals|terminology"
"What is **Sampling**?","Recording subset of traces to control cost","observability-fundamentals|terminology"
"What is **RED method**?","Rate, Errors, Duration for services","observability-fundamentals|terminology"
"What is **USE method**?","Utilization, Saturation, Errors for resources","observability-fundamentals|terminology"
"Summarize the core idea of **Observability Fundamentals**.","**Observability** is the ability to understand a system's internal state from its **external outputs**—primarily **metrics**, **logs**, and **distributed traces**—to answer novel questions during incidents and performance work without redeploying code. Unlike traditional **monitoring** (known failure modes with predefined dashboards), observability supports **exploratory debugging** in complex distributed systems where failures emerge from interaction, not single components.","observability-fundamentals|summary"
"What is **CIA triad**?","Confidentiality, Integrity, Availability","security-architecture-fundamentals|terminology"
"What is **Authentication**?","Proving identity (who)","security-architecture-fundamentals|terminology"
"What is **Authorization**?","Permitting action (what)","security-architecture-fundamentals|terminology"
"What is **Zero trust**?","Verify every request; no implicit network trust","security-architecture-fundamentals|terminology"
"What is **Defense in depth**?","Layered controls","security-architecture-fundamentals|terminology"
"What is **STRIDE**?","Spoofing, Tampering, Repudiation, Info disclosure, DoS, Elevation","security-architecture-fundamentals|terminology"
"What is **mTLS**?","Mutual TLS—client and server certificates","security-architecture-fundamentals|terminology"
"What is **KMS**?","AWS Key Management Service for encryption keys","security-architecture-fundamentals|terminology"
"What is **CMK**?","Customer Master Key","security-architecture-fundamentals|terminology"
"What is **HSM**?","Hardware Security Module (CloudHSM, KMS custom key store)","security-architecture-fundamentals|terminology"
"What is **WAF**?","Web Application Firewall","security-architecture-fundamentals|terminology"
"What is **SCP**?","Service Control Policy in AWS Organizations","security-architecture-fundamentals|terminology"
"What is **SBOM**?","Software Bill of Materials","security-architecture-fundamentals|terminology"
"What is **CSPM**?","Cloud Security Posture Management","security-architecture-fundamentals|terminology"
"What is **MTTD / MTTR**?","Mean time to detect / respond","security-architecture-fundamentals|terminology"
"Summarize the core idea of **Security Architecture Fundamentals**.","**Security architecture** defines how a system protects **confidentiality**, **integrity**, and **availability** against intentional and accidental threats across people, processes, and technology. At principal level, security is not a checklist of tools—it is a **design discipline** integrating **identity**, **network segmentation**, **encryption**, **supply chain controls**, and **detective response** into every architecture decision.","security-architecture-fundamentals|summary"
"What is **ZTA**?","Zero Trust Architecture","zero-trust-architecture|terminology"
